case_id,family_id,family,room,corpora,quality_partitions,actor_ids,roles,historical_source_partition,reference_class,complete_reference,overlap,utterances,reference_words,scheduled_duration_s,prepared_frames,sample_rate_hz,channels,prepared_format,raw_format,capture_id,capture_minus_source_offset_samples,O0_sha256,O1_sha256,O0_gain_already_applied,O1_gain_already_applied,runtime_gain,original_normalized_transcripts,activity_reference,exact_word_timing,exact_phonetic_timing,punctuation_reference,metric_limitations,screen_48
S45_01_01,F01,Isolated speech and source-level controls,Arise Floor 2 Kitchen,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_0ec4d6799c8c83a9a047""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,38,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,0ee26e8aa6f815d8b202419aafb71ff5bc25093d193e95e972036f488c5040b8,1cd00d12636194450157e6f1f5ef0d76e73a35a5523aca870d0fe31af22ba307,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_02,F01,Isolated speech and source-level controls,Arise Floor 2 Kitchen,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_0ec4d6799c8c83a9a047""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,38,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T043440_522da5,2705,82e8eccddd0d8a127ad773c9ea12daf382e4fae0bd3045b6bc6be3244f821774,b9c5415dce3724a14fee7290d6f6eafccc47a48658465772d5d0ec21435fa4e4,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_03,F01,Isolated speech and source-level controls,Arise Floor 2 Kitchen,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_0ec4d6799c8c83a9a047""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,38,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T043440_522da5,2705,ca02b072df73d5181ddae0eda0df7150f5face1f368f2d9987863371f63f8471,7b6b2e6298e8a709164b49727a0ec2f076ec4f84c879f3064d4aa489ebce47aa,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_04,F01,Isolated speech and source-level controls,Library Conference Room,"[""HiFiTTS""]","[""other""]","[""HIFITTS_11614""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,32,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,b62a9af84ec19fc9bb6aba66026d97feb357d1f549eab5459dd53a743266e004,db418ef0d0e79a59a1d29af6a38ab947da8318519eb093caee0b5e903fdeb3af,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_01_05,F01,Isolated speech and source-level controls,Library Conference Room,"[""HiFiTTS""]","[""other""]","[""HIFITTS_11614""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,32,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T043440_522da5,2705,09221e2c0caa1fa2275dc7a8d84c0124f82c44e770b84b5e684eb81b999c8901,e30746c0f91871deef35efca6acf6b352c27be136fca04ff845fabab9cb07b55,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_06,F01,Isolated speech and source-level controls,Library Conference Room,"[""HiFiTTS""]","[""other""]","[""HIFITTS_11614""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,32,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T043440_522da5,2705,0fbce1b22131b14d3f5fc2ae2cd2c0c30deb3418df0f1d7ffe462eb5b5b68887,116f33242a83a8e77584602043e395635c4f41e195b77ea1a1d5d9eba431fb5b,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_07,F01,Isolated speech and source-level controls,Arise Kitchen Main Table,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_aew""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,25,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,8a8080c327d5bf70ef0e7616a36befe995eff6bbdfbdb32b74332569c70dcc31,61169f9875d8d4df967348239a88c1f9f4134f0528f6f5c1289401a1566e020e,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_01_08,F01,Isolated speech and source-level controls,Arise Kitchen Main Table,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_aew""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,25,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T043440_522da5,2705,e03e008dde883340939db6b373098fbb8c5d9bd96fc4191b9528719621e59201,57abb53d1b961d8210ccacb59f429cebe2049cb60041172775be1c01c7bdf102,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_09,F01,Isolated speech and source-level controls,Arise Kitchen Main Table,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_aew""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,25,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T043440_522da5,2705,9a7d2df2e11648fbcc93ae91499782429fe38e10605f08077918cbb662d76850,d05bc4401ace9659b3039928e98050e50e8a4e84cc41332847a3564235dfa4ae,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
S45_01_10,F01,Isolated speech and source-level controls,Arise 5th floor low table,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_2abbf1ec09fa0aeb6d9b""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,32,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,40392580a786b9d91c4bc84362fd36176ddc3bcebdf23918f888809d895c5d91,a88c7ebe0e5c5e6bde40dcdf6173ffc6b44e90f665ffc306786dae618fe51280,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,False
