"section","item","observation_vs_hypothesis","existing_status","change_or_test_or_deferral","final_status","evidence_path","limitation"
"1","Fixed live caption region","OBSERVATION_AND_REQUEST","Compact captions existed; active content shared scrolling history","Added anchored 184px live pane and separate transcript history","ACTUALLY_RUN","prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"1","Append or revise stable suffix","REQUEST","Earlier rows retained marks but active partial updates were not separately anchored","ActiveCaptionPane updates changed suffix and retains unchanged marks","ACTUALLY_RUN","prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"1","Smaller selectable caption font","REQUEST","Compact/Normal/Large/Extra large choices already implemented","Retained 21/25/31/37px caption sizes and Compact default","ACTUALLY_RUN","prototype/config/ui.json; prototype/tests/test_caption_display.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"1","Tighter default fonts and gaps","REQUEST","Compact spacing and 17px body/14px small font existed","Preserved compact gaps while adding common backend control and anchored pane","ACTUALLY_RUN","prototype/app/ui.py; prototype/tests/test_caption_display.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"1","Bounded pending names","OBSERVATION_AND_REQUEST","IdentityLabels already bounds pending state and handles segment replacement","Verified bounds survive jitter and active-pane presentation","ACTUALLY_RUN","prototype/tests/test_caption_display.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"1","Developer scores and honest legends","REQUEST","Score/margin diagnostic page existed","Retained raw cosine, threshold and margin; no calibrated percentage invented","ACTUALLY_RUN","prototype/tests/test_roster_ui.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"1","Active navigation highlight","REQUEST","Existing navigation context highlights current section","Preserved active navigation across caption/people/settings routes","ACTUALLY_RUN","prototype/tests/test_caption_display.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"1","Conditional full-caption rescue","REQUEST","Show all recovery existed where display filtering applies","Retained reachable rescue only in filtering context without a permanent large strip","ACTUALLY_RUN","prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"1","480x800 portrait and independent comfort zoom","EXPLICIT_N1_REQUIREMENT","Toolkit layout and comfort zoom existed","Verified 480x800 logical client and zoom layouts in private desktop","ACTUALLY_RUN","prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json","Private-desktop rendering is Windows evidence. Pi panel, DPI/controller and touch hardware are not tested."
"2","Mode naming and same logical modes","REQUEST","Roster/transcription/open-conversation/spatial modes implemented","Kept logical modes independent of new backend selector","ACTUALLY_RUN","prototype/tests/test_roster_ui.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"2","All enrolled versus selected enrolled roster","REQUEST","UUID-based matching rosters already implemented","Verified unselected best-match identity excluded; rename preserves UUID selection","ACTUALLY_RUN","prototype/tests/test_roster_policy.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"2","Closed roster versus filtering","REQUEST_AND_ASSUMPTION","Closed assumptions and display filtering were separate operations","Verified forced closed labels remain assumptions and filtering leaves matching roster unchanged","ACTUALLY_RUN","prototype/tests/test_roster_policy.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Closed membership never certifies recognition or adaptation data."
"2","Generic Unknown default","REQUEST","Constant Unknown already distinct from numbered display","Retained generic Unknown behavior and default false numbered preference","ACTUALLY_RUN","prototype/tests/test_roster_ui.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"2","Numbered Unknown in Advanced","REQUEST","Numbered modes already restricted to Advanced","Verified legacy numbered toggle cannot override Constant Unknown mode","ACTUALLY_RUN","prototype/tests/test_roster_ui.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"2","Independent visible BACKEND selector","EXPLICIT_N1_REQUIREMENT","No independent backend selector at initial inspection","Implemented immutable composition IDs, capability reasons and selection separate from MODE/tap","ACTUALLY_RUN","prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json","Only baseline is executable through the N1 common app. Staged candidates remain honestly unavailable until adapters pass."
"2","One shared interface and capacity metadata","EXPLICIT_N1_REQUIREMENT","One prototype toolkit/codebase existed","Added immutable backend manifests; unavailable mode reasons stay visible","ACTUALLY_RUN","prototype/tests/test_backend_catalog.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json","Manifest capabilities are not measured model performance. Never load several stacks automatically in 2 GB profile."
"3","Preserve existing spatial and assigned-seat choices","PROPOSAL_AND_EXISTING_FEATURE","Existing spatial/seat modes and saved telemetry interfaces implemented","Retained choices and explicit unavailable reasons across backend selection","ACTUALLY_RUN","prototype/tests/test_backend_catalog.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"3","Matching recorded telemetry only","EXPLICIT_N1_BOUNDARY","Saved telemetry binding already used by spatial adapters","Required matching telemetry rather than ground-truth labels/seat positions","ACTUALLY_RUN","prototype/tests/test_seats.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","N1 source fixtures verify guards. Acoustic spatial efficacy and live IMU observations are not established."
"3","Static seat labels remain assumptions","PROPOSAL_AND_ASSUMPTION","Seat mode labels distinguish assumed and voice-supported attribution","Verified outsiders, overlap, missing/stale directions do not self-certify identity","ACTUALLY_RUN","prototype/tests/test_seats.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"3","No new spatial algorithm or IMU truth","PROPOSAL_DEFERRED","Existing features retained","New spatial research deferred; absent sensors remain unavailable","NOT_TESTED","prototype/tests/test_imu.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Simulation of sensor schema/guards is not connected hardware or range/position measurement."
"4","Paragraph must not own speaker identity","OBSERVATION_REPRODUCED","Initial source fixture reproduced A/B/A collapsing inside one paragraph","Implemented token/span owners; paragraph now groups independently owned spans","ACTUALLY_RUN","prototype/tests/test_n1_spans.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"4","Stable token IDs and timestamped source windows","EXPLICIT_N1_REQUIREMENT","Baseline had caption-wide ownership and no exact word alignment","Retains unchanged prefix IDs; rewritten hypotheses retire old IDs; source revision windows recorded","ACTUALLY_RUN","prototype/tests/test_n1_spans.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json","Timing is ASR_REVISION_WINDOW_NOT_PHONETIC_ALIGNMENT. Exact per-word acoustic boundaries are null."
"4","A/B/A and short interruptions","EXPLICIT_N1_REQUIREMENT","Bug observed in initial EVENT fixture","Source-only fixtures preserve A/B/A and 50ms interruption ownership","ACTUALLY_RUN","prototype/tests/test_n1_spans.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json","Synthetic EVENT times test logic, not synthesized acoustic evaluation scenes."
"4","Simultaneous updates and overlapping captions","EXPLICIT_N1_REQUIREMENT","Independent utterance IDs existed","Verified simultaneous windows remain separately visible and owned","ACTUALLY_RUN","prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"4","Late corrections preserve first and committed labels","EXPLICIT_N1_REQUIREMENT","Caption-level label revisions existed","Explicit target token IDs/current revision required to change committed owners; retired histories retained","ACTUALLY_RUN","prototype/tests/test_n1_spans.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json","First event label and actual GUI presentation label are separately scoped; no physical receipt is inferred."
"4","Scrolling and large paragraphs","EXPLICIT_N1_REQUIREMENT","History scrolling/grouping existed","Verified retained scroll position, 2001 unique token IDs and accessible long caption suffixes","ACTUALLY_RUN","prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"4","Wrong names and evidence availability versus cosine","HYPOTHESIS_FOR_COMPARISON","Raw identity scores and event clocks available","Preserve score/margin/availability provenance; comparative wrong-name analysis belongs N2/N4","NOT_TESTED","research/nvidia_nemo_comparison/20260924_campaign/data/METRIC_LIMITATIONS.md","No model ranking or new confidence calibration in N1."
"5","Paragraph Done requires usable input","REQUEST","Usable-duration/quality-gated Paragraph Done already implemented","Verified short/silent/clipped/overlap/corrupt input cannot save as usable enrollment","ACTUALLY_RUN","prototype/tests/test_paragraph_enrollment.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"5","Unique enrollment material and honest progress","REQUEST","Duplicate source support checks and usable-time accounting existed","Verified duplicates do not count again and progress cannot extrapolate speech","ACTUALLY_RUN","prototype/tests/test_paragraph_enrollment.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"5","Enrollment persistence and cancellation","REQUEST","People UUIDs and save/cancel/export/import implemented","Isolated tests cover backend/domain compatibility, commit rollback and cleanup","ACTUALLY_RUN","prototype/tests/test_people.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json; prototype/tests/test_enrollment_cleanup.py","Personal gallery remains untouched; no human enrollment session performed."
"5","Independent E/C/Q reference groups","EXPLICIT_N1_REQUIREMENT","S6C clean references and accepted S6D captures existed","Bound disjoint source/PCM/text groups, durations and rosters before model outputs","ACTUALLY_RUN","research/nvidia_nemo_comparison/20260924_campaign/data/ECQ_PLAN.md; research/nvidia_nemo_comparison/20260924_campaign/data/ECQ_AUDIT.json","Undocumented transformed aliases/unique-human re-identification not exhaustively ruled out. Three same-book E/C cases have different chapters and are declared."
"5","Same-device and clean-source references separated","EXPLICIT_N1_REQUIREMENT","Existing disjoint processed E captures and clean E/C references found","Created person/duration/domain capability matrices and processed-C admission limits","ACTUALLY_RUN","research/nvidia_nemo_comparison/20260924_campaign/data/ENROLLMENT_CAPABILITY_MATRIX.csv; research/nvidia_nemo_comparison/20260924_campaign/data/PROCESSED_C_AUDIT.json","Processed C is collection-only evidence until C-only projection reviewed. Same-device is not identical query room/configuration."
"5","Model-specific galleries and personal data","EXPLICIT_N1_REQUIREMENT","Personal ReDimNet vectors are model-specific","No TitaNet reuse of ReDimNet vectors; future E re-extraction keyed to encoder; personal gallery untouched","IMPLEMENTED","research/nvidia_nemo_comparison/20260924_campaign/data/ECQ_PLAN.md; research/nvidia_nemo_comparison/20260924_campaign/assets/model_manifest.json","TitaNet embedding/export execution remains NOT_TESTED. No private personal recording accessed."
"5","Script-aware references","PROPOSAL_AND_EXISTING_FEATURE","Script evidence sidecars and optional text alignment existed","Verified wrong/skipped/repeated script and unknown timing do not change original quality","ACTUALLY_RUN","prototype/tests/test_script_evidence.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Script estimates are not phonetic alignment. Optional script preparation belongs N3."
"5","Phonetic neural adaptation","HYPOTHESIS_DEFERRED","No authorized acoustic/neural retraining in this campaign","Keep models frozen; do not reinterpret script coverage as trained phonetic correction","NOT_TESTED","research/nvidia_nemo_comparison/20260924_campaign/data/METRIC_LIMITATIONS.md","Outside N1 and current saved-audio comparison scope."
"6","Progressive adaptation primary OFF","PROPOSAL_AND_EXISTING_FEATURE","Optional low-weight personal adaptation bank existed and defaults off","Retained default-off primary comparison and exact baseline scoring","ACTUALLY_RUN","prototype/tests/test_adaptation.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Any controlled optional N4 adaptation remains a separately declared condition."
"6","Forced names and seats cannot certify learning","EXPLICIT_N1_BOUNDARY","Adaptation provenance/consent gates already implemented","Verified wrong seat, forced label, weak/different winner cannot self-bootstrap","ACTUALLY_RUN","prototype/tests/test_adaptation.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"6","Protect anchors and rollback","REQUEST","Atomic promotion, capped bank and undo mechanisms existed","Verified anchor changes invalidate bank; promotion/undo/restart preserve identity state","ACTUALLY_RUN","prototype/tests/test_adaptation.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"6","Frozen neural weights and domain separation","EXPLICIT_N1_BOUNDARY","Adaptation uses compatible additional templates, not model training","Kept neural weights unchanged and domains/windows distinct","ACTUALLY_RUN","prototype/tests/test_adaptation.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source tests verify data policy; no acoustic adaptation efficacy claim."
"7","Original versus normalized words","REQUEST","Text assistance and session archives preserve raw text separately","Verified raw hash/text and token owners survive a separate formatting suggestion","ACTUALLY_RUN","research/nvidia_nemo_comparison/20260924_campaign/review/NOTE_EXAMPLE_TESTS.json; prototype/tests/test_text_assistance.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"7","WD-40 exact spelling preservation","SUPPLIED_EXAMPLE","Existing text layer retains original alphanumeric source","New source fixture verifies WD-40 remains original text with no automatic reconstruction","ACTUALLY_RUN","research/nvidia_nemo_comparison/20260924_campaign/review/NOTE_EXAMPLE_TESTS.json","Text fixture only; no recognition/normalization accuracy claim."
"7","WD-40 spoken-form normalization","PROPOSAL_DEFERRED","Existing vocabulary accepts letters/apostrophes and same-count mappings; WD-40 rule rejected","New fixture confirms unavailable rule instead of silently claiming support; implement/evaluate in N3 if authorized there","UNAVAILABLE","research/nvidia_nemo_comparison/20260924_campaign/review/NOTE_EXAMPLE_TESTS.json","The frozen N1 prototype does not normalize double u dee forty into WD-40."
"7","Amir approved spelling example","SUPPLIED_EXAMPLE","Approved contextual Amir/emir rule and person linkage existed","New fixture confirms approved context works while absent context, ambiguous Emir and protected numerals abstain","ACTUALLY_RUN","research/nvidia_nemo_comparison/20260924_campaign/review/NOTE_EXAMPLE_TESTS.json","Orthographic heuristic only. Never identity or acoustic evidence."
"7","PnC and ITN separated","PROPOSAL_AND_EXISTING_FEATURE","Existing final-only PnC; source-backed formatting retained","Preserve P0; A2/A3 native PnC staged, standalone P2 not verified; ITN separate","IMPLEMENTED","research/nvidia_nemo_comparison/20260924_campaign/assets/MODEL_ACCESS_MATRIX.md","Comparative PnC/ITN tests belong N3. No independent conversational punctuation gold was found."
"7","Wider contextual reconstruction","HYPOTHESIS_DEFERRED","No new deep language model added","No unsupported filling of missing acoustic content; retain bounded review suggestions","NOT_TESTED","prototype/tests/test_text_assistance.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","General reconstruction outside N1. Existing ASR hotword route unavailable for baseline tokenizer."
"8","Saved processed inputs and quality diagnostics","REQUEST","Prepared O0/O1 capture pairs and quality partitions existed","Bound all 240 scenes/480 cells and reference limitations without input replacement","ACTUALLY_RUN","research/nvidia_nemo_comparison/20260924_campaign/data/DATA_AUDIT_SUMMARY.json","Quality analysis across candidate outputs belongs N4."
"8","No denoiser comparison or new noise acquisition","EXPLICIT_N1_BOUNDARY","Optional legacy noise code exists but is outside this campaign","Retained baseline route and staged no denoiser or dataset payload","IMPLEMENTED","research/nvidia_nemo_comparison/20260924_campaign/assets/download_receipts.json; research/nvidia_nemo_comparison/20260924_campaign/data/DATA_AUDIT_SUMMARY.json","Legacy mocked noise tests do not mean a denoiser model was run."
"8","No raw-minus-processed noise inference","HYPOTHESIS_REJECTED_AS_UNVALIDATED","Captured processed outputs are authoritative inputs","No raw/processed subtraction used and raw microphone files are not a prerequisite","IMPLEMENTED","research/nvidia_nemo_comparison/20260924_campaign/data/METRIC_LIMITATIONS.md","No removed-noise signal or denoising efficacy claim."
"8","Low quality versus calibrated confidence","REQUEST","Quality/identity diagnostics are distinct","Retained reference flags and raw score/margin labels","ACTUALLY_RUN","prototype/tests/test_buffers_quality.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json; prototype/tests/test_roster_ui.py","Confidence calibration is unavailable unless separately measured on disjoint C data."
"9","Linked audio inputs and transcripts","REQUEST","Session event/audio indices and source slices existed","Verified raw immutability, joined source clocks and exact saved slice linkage","ACTUALLY_RUN","prototype/tests/test_sessions.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Only saved input/test fixtures used; private full transcripts remain outside Git/handoff."
"9","Explicit new session","REQUEST","New session preserves draft and avoids model reload","Verified session state transitions without opening hardware","ACTUALLY_RUN","prototype/tests/test_sessions.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"9","Save/delete with data protection","REQUEST","Saved sessions, quota protection and consented exports existed","Verified session deletion never touches people/gallery and saved sessions survive quota pressure","ACTUALLY_RUN","prototype/tests/test_sessions.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"9","CPU/RAM/VRAM resource logs","REQUEST","Resource indices existed","Measured host CPU/RAM/GPU/volumes; worker progress/resource checks persisted","ACTUALLY_RUN","research/nvidia_nemo_comparison/20260924_campaign/assets/environment_receipt.json; prototype/tests/test_sessions.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Host resource inventory is not isolated model memory or CM5 performance."
"9","Truthful availability/source clocks","REQUEST","Live timing contracts and source-index provenance existed","Retained event availability, processing and GUI receipt clocks separately","ACTUALLY_RUN","prototype/tests/test_live_timing.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json; research/nvidia_nemo_comparison/20260924_campaign/data/METRIC_LIMITATIONS.md","Accelerated file inference is not source-speed live latency. 50ms RIR convention is not measured hardware latency."
"9","GUI idle and no microphone during campaign","LATEST_USER_INSTRUCTION","Saved auto-start preferences could open hardware on ordinary launch","N1 safe launch opens idle; test harness disables physical audio APIs","ACTUALLY_RUN","prototype/tests/test_n1_safe_start.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/hardware_guard.json","User work/calls remain on input desktop. No device probing, default playback changes or Pi access."
"10","Unassigned sensor pins/axes/bus/driver","PROPOSAL_DEFERRED","Mockable hardware schema and disabled/unassembled handling existed","Preserved unknown configuration and prevented invalid observations from providing direction","ACTUALLY_RUN","prototype/tests/test_imu.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","GPIO/address/display-controller/BMI270/camera/button wiring awaits user hardware details."
"10","Acceleration does not prove translation/range","HYPOTHESIS_UNVALIDATED","Motion gates invalidate stale spatial assumptions","Verified no out-of-order restore or position claim in source fixture","ACTUALLY_RUN","prototype/tests/test_motion.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","No drift-free translation, absolute range or hardware calibration claim."
"10","Future physical spatial calibration","PROPOSAL_DEFERRED","No connected sensor in campaign","Retain schema and future setup instructions for N5; no hardware operation now","NOT_TESTED","prototype/tests/test_imu.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json","Pi remains powered off and disconnected for entire campaign, per current user instruction."
"11","Four-day comparison supersedes old no-campaign context","LATEST_USER_INSTRUCTION","Older notes had conflicting context","Use one campaign start and 96h target; finish when scope complete","IMPLEMENTED","G:/Just_Peachy_N1/20260924_campaign/local/supervision/campaign.json; research/nvidia_nemo_comparison/20260924_campaign/supervision/README.md","96h is a target, not a minimum runtime or guarantee."
"11","Prototype-first common UI freeze","EXPLICIT_N1_REQUIREMENT","Launchable Windows/source/Pi-saved baseline recovered","Frozen common frontend version for paired candidate comparisons","ACTUALLY_RUN","research/nvidia_nemo_comparison/20260924_campaign/FRONTEND_FREEZE.json","Later critical changes require a new version and affected paired checks."
"11","Portable 2GB priority and runnable variants","EXPLICIT_N1_REQUIREMENT","Baseline retained; native candidate routes staged","Prioritize D1 hybrid, compact ASR/enrollment, 600M, optional overlap/PnC; package variants in later stages","IMPLEMENTED","research/nvidia_nemo_comparison/20260924_campaign/assets/model_manifest.json","Windows native build proves no ARM64 speed/RAM result. No multiple automatic stacks in 2GB profile."
"12","Inspect queued improvements rather than assuming execution","EXPLICIT_N1_REQUIREMENT","Initial inspection identified working fixes and paragraph-identity defect","Read current code and tests; preserve existing behavior; repair demonstrated gap","ACTUALLY_RUN","prototype/tests/test_n1_spans.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json; research/nvidia_nemo_comparison/20260924_campaign/FRONTEND_FREEZE.json","Source/interface checks do not establish acoustic accuracy or physical hardware behavior."
"12","UI first then novel components and comparison","REVISED_IMPLEMENTATION_ORDER","Historical task order superseded by N1-N5 campaign","N1 freezes interface/data/assets/supervisor; later stages own model ranking","IMPLEMENTED","research/nvidia_nemo_comparison/20260924_campaign/FRONTEND_FREEZE.json; research/nvidia_nemo_comparison/20260924_campaign/assets/model_manifest.json","Do not interpret seeded backend choices as functioning adapters or compared models."
"12","Baseline paired-screen acceptance","EXPLICIT_N1_REQUIREMENT","Historical baseline retained with exact model hashes","Completed 48-scene/96-cell paired baseline, eight supplemental cells and 96 frozen-GUI final-snapshot renders","ACTUALLY_RUN","research/nvidia_nemo_comparison/20260924_campaign/data/BASELINE_ANALYSIS_SUMMARY.json; research/nvidia_nemo_comparison/20260924_campaign/data/REGRESSION_ANALYSIS_SUMMARY.json; G:/Just_Peachy_N1/20260924_campaign/evidence/frontend/baseline_full_gui_v1/GUI_REPLAY_REPORT.json","Final-state GUI rendering is separate from source-paced inference; it does not measure online GUI latency, physical scanout or Pi performance."
"13","Self-contained prompts and source authority","REQUEST","N1 attachment supplies full campaign contract","Treat user request as authority; supplied note summary wording identified honestly","IMPLEMENTED","research/nvidia_nemo_comparison/20260924_campaign/review/README.md","Underlying original raw note document was not attached. This catalogue maps the 13-section supplied summary plus explicit N1 items."
"13","Current reasoning preference","LATEST_USER_INSTRUCTION","Attachment recommends Extra High except bounded Ultra need","Current user requested Astra Ultra/Normal speed; parent task records preference","IMPLEMENTED","C:/Users/amiri/Downloads/Codex_N1_Foundation_UI_Data_and_Supervision.md","No tool-run receipt is invented for a model/reasoning setting that a child agent cannot independently verify."
"13","Licensed no-charge access and exact revisions","EXPLICIT_N1_REQUIREMENT","Seed candidates had planned access only","Verified six public repos; five core artifacts downloaded and hashed; terms/code dependencies recorded","ACTUALLY_RUN","research/nvidia_nemo_comparison/20260924_campaign/assets/download_receipts.json; research/nvidia_nemo_comparison/20260924_campaign/assets/terms_receipts.json","A1/E1 NeMo runtime/export setup still required; optional X1 deferred; P2 unverified. No paid services or credential collection."
"13","OS check-ins at 10/15/30 minutes","EXPLICIT_N1_REQUIREMENT","No N1 supervision active at inspection","Registered phase-specific OS tasks; one setup scheduled trigger succeeded","ACTUALLY_RUN","G:/Just_Peachy_N1/20260924_campaign/local/supervision/scheduler-register.json; G:/Just_Peachy_N1/20260924_campaign/local/supervision/scheduler-test-trigger.json","Logged-out/asleep host is not supervised; no wake/reboot. Numerical workers run independently."
"13","Locks, failure/resume/cleanup and durable status","EXPLICIT_N1_REQUIREMENT","Needed new campaign runner","Ten supervisor tests passed, including STARTING watchdog, live/uncertain child guards, PID reuse, resume ETA, overlap, failure and cleanup","ACTUALLY_RUN","research/nvidia_nemo_comparison/20260924_campaign/supervision/test_supervisor.py; G:\Just_Peachy_N1\20260924_campaign\local\checks\supervisor-final-v3.txt","Tests use isolated state and harmless child processes. An uncertain legacy orphan requires manual recovery; no competing Codex resume is launched."
"13","No unchanged healthy LLM check or competing resume","EXPLICIT_N1_REQUIREMENT","Installed CLI continuation cannot prove atomic idle/queue guard","Unchanged checks stay cheap; changes queue exact-session review request; automatic Codex continuation unavailable","UNAVAILABLE","research/nvidia_nemo_comparison/20260924_campaign/supervision/README.md","Manual Codex resume is required. Never claim autonomous LLM check-ins or use ambiguous --last."
"13","Git branch backup and sanitized handoff","EXPLICIT_N1_REQUIREMENT","Existing authorized public repository/remote preserved with visibility unchanged","Baseline/common source commits and tags verified on existing remote; final reviewed report payload backup is still pending","ACTUALLY_RUN","research/nvidia_nemo_comparison/20260924_campaign/GIT_RECEIPT.json","Push status is limited to the verified refs in GIT_RECEIPT.json. ZIP completion/integrity is separately recorded in HANDOFF_PACKAGE.json; no private speech or model payload is admitted."
