item,classification,evidence,scope,limitation
Fixed live caption region,TESTED,prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Append or revise stable suffix,TESTED,prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Smaller selectable caption font,TESTED,prototype/config/ui.json; prototype/tests/test_caption_display.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Tighter default fonts and gaps,TESTED,prototype/app/ui.py; prototype/tests/test_caption_display.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Bounded pending names,TESTED,prototype/tests/test_caption_display.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Developer scores and honest legends,TESTED,prototype/tests/test_roster_ui.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Active navigation highlight,TESTED,prototype/tests/test_caption_display.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Conditional full-caption rescue,TESTED,prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
480x800 portrait and independent comfort zoom,TESTED,prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,"Private-desktop rendering is Windows evidence. Pi panel, DPI/controller and touch hardware are not tested."
Mode naming and same logical modes,TESTED,prototype/tests/test_roster_ui.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
All enrolled versus selected enrolled roster,TESTED,prototype/tests/test_roster_policy.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Closed roster versus filtering,TESTED,prototype/tests/test_roster_policy.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Closed membership never certifies recognition or adaptation data.
Generic Unknown default,TESTED,prototype/tests/test_roster_ui.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Numbered Unknown in Advanced,TESTED,prototype/tests/test_roster_ui.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Independent visible BACKEND selector,TESTED,prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Only baseline is executable through the N1 common app. Staged candidates remain honestly unavailable until adapters pass.
One shared interface and capacity metadata,TESTED,prototype/tests/test_backend_catalog.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Manifest capabilities are not measured model performance. Never load several stacks automatically in 2 GB profile.
Preserve existing spatial and assigned-seat choices,TESTED,prototype/tests/test_backend_catalog.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Matching recorded telemetry only,TESTED,prototype/tests/test_seats.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,N1 source fixtures verify guards. Acoustic spatial efficacy and live IMU observations are not established.
Static seat labels remain assumptions,TESTED,prototype/tests/test_seats.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
No new spatial algorithm or IMU truth,DEFERRED,prototype/tests/test_imu.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Simulation of sensor schema/guards is not connected hardware or range/position measurement.
Paragraph must not own speaker identity,TESTED,prototype/tests/test_n1_spans.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Stable token IDs and timestamped source windows,TESTED,prototype/tests/test_n1_spans.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Timing is ASR_REVISION_WINDOW_NOT_PHONETIC_ALIGNMENT. Exact per-word acoustic boundaries are null.
A/B/A and short interruptions,TESTED,prototype/tests/test_n1_spans.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,"Synthetic EVENT times test logic, not synthesized acoustic evaluation scenes."
Simultaneous updates and overlapping captions,TESTED,prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Late corrections preserve first and committed labels,TESTED,prototype/tests/test_n1_spans.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,First event label and actual GUI presentation label are separately scoped; no physical receipt is inferred.
Scrolling and large paragraphs,TESTED,prototype/tests/test_n1_frontend.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/final-core-01/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
Wrong names and evidence availability versus cosine,DEFERRED,research/nvidia_nemo_comparison/20260924_campaign/data/METRIC_LIMITATIONS.md,Inherited N1 note audit; not newly run N5 or final comparative acceptance,No model ranking or new confidence calibration in N1.
Paragraph Done requires usable input,TESTED,prototype/tests/test_paragraph_enrollment.py; G:/Just_Peachy_N1/20260924_campaign/local/checks/full-suite-v1/tests.json,Inherited N1 note audit; not newly run N5 or final comparative acceptance,Source/interface checks do not establish acoustic accuracy or physical hardware behavior.
