case_id,family_id,family,room,corpora,quality_partitions,actor_ids,roles,historical_source_partition,reference_class,complete_reference,overlap,utterances,reference_words,scheduled_duration_s,prepared_frames,sample_rate_hz,channels,prepared_format,raw_format,capture_id,capture_minus_source_offset_samples,O0_sha256,O1_sha256,O0_gain_already_applied,O1_gain_already_applied,runtime_gain,original_normalized_transcripts,activity_reference,exact_word_timing,exact_phonetic_timing,punctuation_reference,metric_limitations,screen_48
S45_01_04,F01,Isolated speech and source-level controls,Library Conference Room,"[""HiFiTTS""]","[""other""]","[""HIFITTS_11614""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,32,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,b62a9af84ec19fc9bb6aba66026d97feb357d1f549eab5459dd53a743266e004,db418ef0d0e79a59a1d29af6a38ab947da8318519eb093caee0b5e903fdeb3af,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_01_07,F01,Isolated speech and source-level controls,Arise Kitchen Main Table,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_aew""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,3,25,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,8a8080c327d5bf70ef0e7616a36befe995eff6bbdfbdb32b74332569c70dcc31,61169f9875d8d4df967348239a88c1f9f4134f0528f6f5c1289401a1566e020e,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_01_16,F01,Isolated speech and source-level controls,Arise Floor 2 Kitchen,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_6b5e3c9ca9030b7da6be""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,3,28,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,28998833fde4a079dbd5ba140c276d7a160ac9ca5be0dead7493084d31365ac8,3a098bee7f44119888cf56ea44dd38cbb41da65f6beddfc98643b5e281d0a396,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_01_20,F01,Isolated speech and source-level controls,Upper Loeb,"[""HiFiTTS""]","[""clean""]","[""HIFITTS_9017""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,3,33,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,f08969906c52bc8b3642c0a7ce8005e36f35360917211fab0c806151838b65c7,21192710164a2e833ead1505059e2ee12d02b83d1c62067ec418b03d66cffd49,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_02_08,F02,Returns and three-person sequential turns,Library Conference Room,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_gka"", ""CMU_ARCTIC_jmk"", ""CMU_ARCTIC_ksp""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,4,45,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,838032ef24eac27b082740aef95498ae7267d27bd92cf607d1cf52353206c935,3d4654d0dc177d70373b86db48f9a516ace4f58cb7819196a5127bebf2e9cae8,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_02_14,F02,Returns and three-person sequential turns,Arise 5th floor low table,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_aew"", ""CMU_ARCTIC_rms"", ""CMU_ARCTIC_slp""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,4,38,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,2f08f0f4576ea6fdade30dcd8f9606e521733130a51c7e4fe0cccccaa200d6e4,d07d3ba361f9b6da64c44595b5aba04bf241688ff83ad6de9b110c6d546cff0d,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_02_16,F02,Returns and three-person sequential turns,Arise Kitchen Main Table,"[""HiFiTTS""]","[""clean"", ""other""]","[""HIFITTS_8051"", ""HIFITTS_9017""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,4,40,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,912d08651ffb3fd35a20b14399fdf6faac4d08d90426fa1e3d0d31b01b8314c0,ce3e290a7842129d3bbec86d34838b7af8aeb18a668234fc323ada91be14cc42,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_02_18,F02,Returns and three-person sequential turns,Upper Loeb,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_5bb2ca9b27ebe4cea0b5"", ""CV_6780c1e3d0bfe13078f7"", ""CV_8c9d6f14b797c3ffeb85""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,4,26,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,19411dc1f5b3347222417a31447a863c44918e2733d87a81065377bd4ff94511,19b06573c665af2b83958d47105e332824c44c6e365b5a8bb9cd27dd0568725e,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_03_02,F03,Complete short replies and rapid handoffs,Library Conference Room,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_bc25d4fe155478871b18"", ""CV_c86d546169ef5ac0dbe9""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,6,37,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,3eaf3b0e70ba273fc1601d2c19de47e00233b40f670224e06356754dfe4f0050,a67b0c1993a761b088433b6827bc6f914e3788dfaae5d4a2618b62a44b178473,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_03_09,F03,Complete short replies and rapid handoffs,Arise Floor 2 Kitchen,"[""HiFiTTS""]","[""other""]","[""HIFITTS_6670"", ""HIFITTS_6671""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,6,15,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,325fc288930740ddce5bb6e2dbece90da406aa7a015934bf8997e90feee5e15b,b3925daba53afe3f7ce5d58c9b6d5ebb258d2551eb16710f35c3533946270e1c,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_03_16,F03,Complete short replies and rapid handoffs,Arise Kitchen Main Table,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_axb"", ""CMU_ARCTIC_rxr""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,6,26,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,2d50779d27fb02d310b61b1e78c24679522f1e526bc6d9e62f9fae4fcc36da53,f44646b09ffa694b1e689dd0f226dbbfa013e0d6ebc4dca34341bfec07307207,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_03_18,F03,Complete short replies and rapid handoffs,Upper Loeb,"[""HiFiTTS""]","[""clean"", ""other""]","[""HIFITTS_12787"", ""HIFITTS_6097""]","[""target_or_conversation""]",development,complete_nonoverlap,True,False,6,11,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,cc86667245e94cdb516c63d0b32f6ff8e99c70f40d7231e68ac418f1270cab31,02dac291c3b31744bb5eb7fe4d9d19ed0d39930b2fa058547c1a7f693adf1403,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
S45_04_09,F04,Two-talker overlap,Arise Kitchen Main Table,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_bdl"", ""CMU_ARCTIC_clb""]","[""target_or_conversation""]",development,complete_overlap,True,True,3,33,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,cb32f5a833ab9f840f21688d77f08415cab645b53e47ac238c302a904b5864b4,d3e18d1fdac8f902918a71508ca444b62e39fc7179a90433327f469d8a33c440,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,overlap: speaker/permutation lexical scoring; activity is estimated,True
S45_04_13,F04,Two-talker overlap,Arise Floor 2 Kitchen,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_0ec4d6799c8c83a9a047"", ""CV_2abbf1ec09fa0aeb6d9b""]","[""target_or_conversation""]",development,complete_overlap,True,True,3,38,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,1ffe73c8a408be2f3d7387e9de4de1794e4ae3b8e126d12262c0c070496343a0,73ea1ceba9877460f0f05073b67263b7f452599250b34915cc40f65dbe4debb0,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,overlap: speaker/permutation lexical scoring; activity is estimated,True
S45_04_16,F04,Two-talker overlap,Library Conference Room,"[""Common Voice""]","[""self_reported_60plus_real_recording""]","[""CV_6b5e3c9ca9030b7da6be"", ""CV_cb8bbb33611dc9825ccf""]","[""target_or_conversation""]",downstream_reserve,complete_overlap,True,True,3,27,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,d53e9b111fc3ce883840193d484a387669f0f844ce030f7eea42e60358291e27,b5a6f4e5fcf5c5f6e9d635b89b6510bb7818f26c023bfb56427fd1a1cfddea68,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,overlap: speaker/permutation lexical scoring; activity is estimated,True
S45_04_20,F04,Two-talker overlap,Upper Loeb,"[""HiFiTTS""]","[""clean"", ""other""]","[""HIFITTS_8051"", ""HIFITTS_9017""]","[""target_or_conversation""]",downstream_reserve,complete_overlap,True,True,3,29,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,ec2d1e0ea4ffdec5216db0f5f1eb1d583ae89bcd2d1b0cd1eb8ec8ba9d5bbea6,e7791bcafcd3424ebbc45742a5d3f5982fbd1563fa06bda82afbe4080cf67f81,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,overlap: speaker/permutation lexical scoring; activity is estimated,True
S45_05_17,F05,Folded spatial and front/rear contrasts,Arise Floor 2 Kitchen,"[""CMU ARCTIC""]","[""studio_project_design""]","[""CMU_ARCTIC_awb"", ""CMU_ARCTIC_slt""]","[""target_or_conversation""]",downstream_reserve,complete_nonoverlap,True,False,3,30,45,715127,16000,1,PCM_16,PCM_24,canonical_20260909T044122_18b754,2705,e21d525c769d64f08436bfdcc86aa478bea3596c6ce7cf6ecbfd21183f44fe9e,a294a517fb5403345b31d525e9c8514f286fd4948f817e9c172be2720698e3ac,1.4125375446227544,1.0,1.0,LOCAL_FULL_AUDIT,estimated 20ms grid; preserved source and mapping provenance,UNAVAILABLE,UNAVAILABLE,original source text only; not independent conversational gold,lexical scoring supported; timing/activity approximate,True
